
=== gen-units reconciliation (parsed from references/research/aog-units.md §4–§10) ===

FACTION    NAME                       CLASS     LV  SPD  STR  RANGE  MANA  RUNES  TRAITS                         ABILITIES                         
---------- -------------------------- --------- --- ---- ---- ------ ----- ------ ------------------------------ ----------------------------------
saradomin  Monk                       helper    1   6    10   1-1    150   free   -                              heal-aura,bury-bones              
saradomin  Paladin                    warrior   1   6    10   1-1    100   free   -                              -                                 
saradomin  Saradomin Owl              flying    1   6    5    1-1    100   free   -                              -                                 
saradomin  Saradomin Ranger           ranger    2   6    20   2-3    200   2      -                              -                                 
saradomin  White Knight               warrior   2   5    25   1-1    250   free   -                              -                                 
saradomin  Saradomin Mage             mage      3   3    20   3-5    250   free   -                              -                                 
saradomin  Lion                       warrior   3   4    40   1-1    350   3      -                              -                                 
saradomin  Unicorn                    skirmish  3   8    30   1-1    350   free   -                              -                                 
saradomin  Centaur                    ranger    4   9    25   1-3    300   4      -                              -                                 
saradomin  Priest                     helper    4   6    20   1-1    300   4      -                              heal-aura,barrier                 
saradomin  Icyene                     flying    5   8    40   1-3    800   5      -                              -                                 
zamorak    Werewolf                   warrior   1   6    10   1-1    100   free   -                              -                                 
zamorak    Skeleton                   skirmish  1   5    15   1-1    100   free   undead-decay                   -                                 
zamorak    Necromancer                helper    1   6    10   1-1    150   free   -                              raise-dead                        
zamorak    Zamorak Ranger             ranger    2   6    20   2-3    200   2      -                              -                                 
zamorak    Black Knight               warrior   2   5    25   1-1    250   free   -                              -                                 
zamorak    Zamorak Mage               mage      3   3    20   3-5    250   free   -                              -                                 
zamorak    Hellhound                  skirmish  3   8    30   1-1    350   3      -                              -                                 
zamorak    Sea Slug                   skirmish  3   3    10   1-1    100   3      amphibious                     self-sacrifice-control            
zamorak    Greater Demon              warrior   4   4    50   1-1    450   free   -                              -                                 
zamorak    Gargoyle                   flying    4   6    30   1-3    600   4      -                              -                                 
zamorak    Pyrelord                   titan     5   3    50   1-1    750   5      -                              terrain-burn                      
guthix     Wolf                       skirmish  1   8    10   1-1    150   free   -                              -                                 
guthix     Druid                      helper    1   6    10   1-1    150   free   -                              strength-aura                     
guthix     Black Guard Dwarf          warrior   2   4    20   1-1    175   free   -                              -                                 
